Type,Classify,Stratify,Parameter,Method,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
recoil,bend left,,dur,sum,10.040000000000001,9.0,6.37,10.560000000000002,11.600000000000001,9.330000000000002,9.15,9.450000000000001,10.700000000000001,9.110000000000001,9.170000000000003,9.359999999999998,9.030000000000001
recoil,bend left,,dur,mean,0.11674418604651164,0.10843373493975904,0.07406976744186046,0.12000000000000002,0.11047619047619049,0.09925531914893619,0.11296296296296297,0.11666666666666668,0.08230769230769232,0.11679487179487182,0.08902912621359227,0.08509090909090906,0.08518867924528303
recoil,bend left,,dur,std,0.05595043732079767,0.03398284817413701,0.041511951701442895,0.04989644448669457,0.04602217175493018,0.048885192729257176,0.04495676935803007,0.04761827380323651,0.03560198717427589,0.05838727822971593,0.04619894241864809,0.044054708576834606,0.03543555201785944
recoil,bend left,,dur,max,0.24,0.18,0.28,0.23,0.21,0.23,0.24,0.27,0.19,0.25,0.22,0.21,0.18
recoil,bend left,,angular velocity,sum,,,,,,,,,,,,,
recoil,bend left,,angular velocity,mean,8.195084235971708,14.182384109125659,12.195821621942914,9.227076386732632,9.99237201318752,9.964413948549417,11.127577077968759,13.772574546207837,12.028990332110988,13.314443810395483,7.981203740849761,12.251705496675806,14.248796105618656
recoil,bend left,,angular velocity,std,4.37600507136597,4.646874839681802,7.930165365949818,3.856537567735128,4.110495417592819,7.790785958326852,4.99359252297415,6.025983576125832,6.6712600834101154,7.872711307962961,4.414646570705556,15.45999423476907,6.933845879283017
recoil,bend left,,angular velocity,max,29.8122733231163,28.009175933911912,32.593727373794685,24.328218206880294,23.444632802023992,69.84735481340277,24.478206235379698,30.85337746664734,59.64686751843297,37.77104461333354,29.144526496682882,128.37179473922052,28.625578124753442
recoil,bend left,,,count,86.0,83.0,86.0,88.0,105.0,94.0,81.0,81.0,130.0,78.0,103.0,110.0,106.0
recoil,bend right,,angle change,sum,55.09308237164966,59.65034933964323,146.5984860102956,46.84488596969346,35.62023583509729,70.48657701508643,48.512672213403995,95.95155812410222,60.04629822939432,92.60080231293502,60.70763679044201,65.36794312248503,58.58125833619136
recoil,bend right,,angle change,mean,0.8885981027685429,1.454886569259591,1.3961760572409105,1.0646564993112149,0.8905058958774322,0.9154100911050185,1.0780593825200888,1.1701409527329538,0.8457225102731594,1.3617765046019856,0.7588454598805251,0.6954036502392025,0.9603484973146125
