,0,1,2,3,4,5,6,7,8,9,10,11,12
videoname,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
bend_amp change_max,14.996178536355158,15.510451212482465,13.812324847941776,15.890443525217698,12.274455260797287,17.32315675887974,15.043470427612004,13.703027230472046,13.827008975725192,13.466532457481021,14.298840779746094,15.620542976370022,14.327676932745465
bend_left_count,185,140,294,152,150,248,139,173,291,167,262,312,205
bend_right_count,174,132,265,142,157,248,148,199,300,160,259,316,231
bend_left vs right_count,0.03064066852367688,0.029411764705882353,0.0518783542039356,0.034013605442176874,-0.02280130293159609,0.0,-0.0313588850174216,-0.06989247311827956,-0.015228426395939087,0.021406727828746176,0.005758157389635317,-0.006369426751592357,-0.05963302752293578
bend__left_angle change_sum,167.06755475653654,197.67350383272537,318.0649020482264,161.41241988354398,159.32459664936806,243.88063105237276,160.02127706854662,252.79527061413017,285.3353689283027,218.50425547199944,204.1738159265797,266.50371022855614,239.88922332398212
bend__right_angle change_sum,167.24207846182273,201.64973611626263,322.97528385095063,162.99318629704823,173.4976066874211,249.2668469675699,163.8837249201776,252.85830501734105,296.1155021253556,222.7092933601108,206.58909379326104,271.405476394814,243.62913727257265
bend__left_angle change_mean,0.9030678635488462,1.4119535988051812,1.0818534083273006,1.0619238150233157,1.0621639776624539,0.9833896413402128,1.1512322091262348,1.461244338810001,0.9805339138429647,1.3084087154011943,0.7792893737655714,0.8541785584248595,1.1701913332877176
bend__right_angle change_mean,0.9611613704702455,1.5276495160322927,1.218774656041323,1.147839340120058,1.105080297372109,1.0051082539014915,1.1073224656768756,1.2706447488308596,0.9870516737511853,1.3919330835006924,0.7976412887770696,0.8588780898570063,1.054671589924557
bend__left_angle change_std,0.5707770121889837,0.7034153188373912,0.7408873635615869,0.5969755499551436,0.534058754680376,0.704345817297466,0.517525120869348,0.8226678192780728,0.6239518803998113,0.6777882021970443,0.4989956312406739,0.5410214087396555,0.5731587944022348
bend__right_angle change_std,0.6413551460889688,0.6936742282254693,0.7448632632439167,0.5928027417990547,0.5526987405454349,0.7301249417335621,0.5254562045270554,0.8461236337400935,0.676738964889208,0.6320742402575777,0.5329607418225968,0.6139379767220995,0.6598409639331843
bend__left_angle change_max,3.1888719110330994,3.422163029610659,4.606064999766637,3.822636063589445,3.130613731281434,4.525774443949709,2.6906891197549,5.5767416863789965,4.400311517245836,3.1289579468885815,3.1082284506583138,3.8804434380619144,3.0823227801996786
bend__right_angle change_max,3.8018220458199785,4.501565640102062,3.6083083514096908,3.7569405806253675,3.4008930505101747,4.936328271594592,2.7407859485905797,6.47775010282826,4.953397492634162,3.1506576343109876,3.566797672569411,4.641825701508531,4.924389479974854
bend__left_dur_sum,17.0,12.25,18.72,14.55,14.790000000000001,19.79,13.02,15.55,20.94,14.450000000000001,20.5,21.69,15.01
bend__right_dur_sum,15.450000000000001,9.73,17.52,11.610000000000001,12.13,18.740000000000002,11.34,15.6,19.25,13.34,19.53,20.19,15.3
bend__left_dur_mean,0.0918918918918919,0.0875,0.0636734693877551,0.09572368421052632,0.09860000000000001,0.07979838709677418,0.09366906474820144,0.08988439306358383,0.07195876288659794,0.08652694610778444,0.07824427480916031,0.06951923076923078,0.07321951219512195
bend__right_dur_mean,0.08879310344827587,0.07371212121212121,0.06611320754716982,0.0817605633802817,0.07726114649681529,0.07556451612903227,0.07662162162162162,0.07839195979899498,0.06416666666666666,0.083375,0.07540540540540541,0.06389240506329115,0.06623376623376624
bend__left_dur_std,0.049642079682519755,0.03848058465880494,0.028693546922979797,0.04990855178527614,0.04542166351839751,0.04020644697004218,0.04302247280794387,0.04459101535462307,0.0320335764124866,0.05060987264647343,0.03662967655664593,0.03415624608579318,0.03225777926780285
bend__right_dur_std,0.05542513315896191,0.030301419688865537,0.02853072531537105,0.044805320349209025,0.031124470234769736,0.03805605112587596,0.037806418021428034,0.04428360318206114,0.02863048324411462,0.0390756000046483,0.0375320241778324,0.02833542523214,0.03299692848837381
bend__left_dur_max,0.24,0.18,0.28,0.23,0.23,0.23,0.24,0.27,0.19,0.25,0.22,0.21,0.24
bend__right_dur_max,0.34,0.21,0.18,0.26,0.25,0.27,0.25,0.23,0.21,0.22,0.29,0.21,0.29
bend__left_angular velocity_mean,10.367415212721811,16.770144380019577,16.48853565405315,11.762218289766324,11.108282665389375,12.841253268753357,13.073604393022698,17.127217289113617,13.898169283649974,16.438873387181204,10.304027667909244,13.707891128934271,16.40854497618893
bend__right_angular velocity_mean,11.292281841431162,21.051940997527286,18.048389864973323,14.514424907694144,14.319952666811414,13.080459564215053,14.808406475949385,16.304389027443275,15.719911108085574,17.368336643179546,10.709994046927614,14.538852786027658,15.518599970628744
bend__left_angular velocity_std,5.428939130405183,9.07474693377592,9.082245802548439,5.953295543684584,4.924772832510218,9.17446447396359,6.314139695481491,8.96238858051154,6.720745936867511,9.079206927987835,7.039979205766903,15.348737202439173,8.293565124852678
bend__right_angular velocity_std,5.414846025273664,7.60008590800343,9.547314664545093,6.131851629162338,6.454067843784616,6.262375125614714,6.451620709065922,8.829739983021751,11.358999481197909,7.987422418582127,7.012238489156929,18.059716414188586,7.656506816442338
bend__left_angular velocity_max,29.8122733231163,45.28338724815215,39.96754342331198,33.54563801217799,26.980934680250584,90.51548887899419,29.896545775054445,61.96379651532218,59.64686751843297,44.69939924126545,67.42757386473798,192.51094628587316,40.59133540143761
bend__right_angular velocity_max,27.469678388679203,38.96746494288067,55.02194641131546,28.684522001165753,34.008930505101745,41.434699853393774,29.174864876455782,40.48593814267662,161.35267258786698,38.06432270125644,84.47434274336564,232.09128507542655,34.241175770551955
bend__left_amp change_mean,4.5204105152931096,8.349978370246662,4.65716136590487,6.0342381072167965,4.415293759529156,4.884514707680236,7.210001781086131,6.4834477497471275,3.830655487841,6.4443915493709945,3.197845825619573,3.5779703083160426,5.702517220512608
bend__right_amp change_mean,4.779496794102918,8.882049220291359,4.862624435568089,6.442742346097996,4.140663890519937,4.837930313234128,7.1004900402849715,5.839785535846857,3.932547986903551,7.123237839131194,3.241736512908805,3.5210488100854698,5.4916156096693305
